aerosol_total_aod,albedo_o2_fph,albedo_slope_o2,albedo_slope_strong_co2,albedo_slope_weak_co2,albedo_strong_co2_fph,albedo_weak_co2_fph,StartOrbitNumber,albedo_o2_abp_0,albedo_o2_abp_1,co2_ratio_idp,dispersion_multiplier_abp,fluorescence_offset_relative_757nm_idp,fluorescence_offset_relative_771nm_idp,h2o_ratio_idp,o2_ratio_idp,reduced_chi_squared_o2_abp,snr_o2_abp,surface_pressure_delta_abp,surface_pressure_offset_abp,temperature_offset_abp,retrieval_altitude,retrieval_aspect,retrieval_azimuth,retrieval_latitude,retrieval_longitude,retrieval_overlap,retrieval_overlap_o2_weak_co2,retrieval_overlap_strong_co2_o2,retrieval_overlap_weak_co2_strong_co2,retrieval_polarization_angle,retrieval_slope,retrieval_solar_azimuth,retrieval_solar_relative_velocity,retrieval_solar_zenith,retrieval_surface_roughness
0.305708,0.307974,-6.18E-05,-3.87E-05,-0.000158555,0.0724879,0.199885,990,0.297701,0.314171,1.03827,1.000003007,0.0183716,0.0234985,0.994751,1.10339,48.7465,670.583,565.999,-500,1.8909,18.0268,336.014,107.785,-1.03059,103.339,78.9615,71.0913,91.4673,71.5828,1.09889,0.197379,286.614,-265.308,23.8741,3.32831
0.0996709,0.289662,-3.52E-05,-1.64E-05,-9.90E-05,0.168359,0.245258,990,0.274321,0.284142,1.01605,0.999998781,0.0115967,0.020874,0.981201,1.01764,59.5441,659.397,-1636.19,-500,2.52211,7.54026,192.104,70.4754,13.8003,100.02,82.8934,18.0392,27.6439,18.0304,0.0225359,0.451217,250.365,-286.441,21.9547,1.6721
0.116037,0.308342,-4.37E-05,-4.37E-05,-0.000103533,0.160082,0.250155,990,0.295897,0.308081,1.01965,0.999998708,0.0130005,0.0214844,0.995667,1.02673,57.5088,666.396,-1553.33,-500,2.17414,8.20844,193.542,69.9502,13.8468,100.01,84.8339,15.0097,22.6027,14.9398,359.654,0.216043,250.251,-286.507,21.966,1.29614
0.143972,0.325473,-4.89E-05,-0.000109237,-0.00010344,0.141602,0.237269,990,0.308655,0.32358,1.02295,0.999998555,0.000427246,0.0188599,1.01294,1.0199,42.761,611.794,-1209.4,-500,1.64255,6.95177,186.305,69,13.9025,100.001,83.8015,11.3409,18.7311,11.3153,358.924,2.43186,250.117,-286.569,21.9818,1.72569
0.176712,0.317423,-4.94E-05,-6.42E-05,-0.000122695,0.0715118,0.184433,990,0.30639,0.324033,1.04083,0.999996361,0.00170898,0.0187988,1.01556,1.09064,66.6145,702.331,-600.989,-500,2.83779,520.116,1.85751,51.2224,22.705,97.797,98.3846,79.5995,80.3999,80.2239,0.731092,1.59986,230.293,-305.195,25.126,21.0984
0.197404,0.31814,-4.70E-05,-5.92E-05,-0.000130887,0.0793236,0.190127,990,0.309627,0.323355,1.03815,0.999995854,0.0098877,0.0199585,1.02368,1.1131,61.0727,704.686,-526.4,-500,2.82077,518.759,83.0663,50.8485,22.7158,97.7999,99.338,78.9205,79.2485,79.5655,0.409295,0.472562,230.283,-305.174,25.136,13.5177
0.147904,0.297248,-4.37E-05,-6.77E-05,-0.000111129,0.0611651,0.154533,990,0.28702,0.304458,1.0246,0.99999549,0.0231323,0.0258789,0.990051,1.08484,26.3145,652.862,55.464,-500,1.82203,113.473,174.72,48.6917,24.3893,97.3317,95.8737,77.6179,80.7591,82.1869,1.33725,0.0477023,227.081,-309.32,26.0039,1.43359
0.08305,0.288811,-3.93E-05,-7.47E-05,-0.000101781,0.065455,0.157093,990,0.278339,0.295334,1.02454,0.999995739,0.015625,0.0192871,0.982483,1.08484,26.4954,662.821,132.249,-500,1.71324,114.467,132.595,48.3337,24.4002,97.3348,93.1893,78.0597,81.268,82.8157,1.02837,0.109329,227.073,-309.299,26.0144,2.22408
0.0768736,0.294771,-6.58E-05,-8.37E-05,-0.000112914,0.0897777,0.170893,990,0.279652,0.301477,1.01752,0.999995634,0.0123901,0.0142822,0.987122,1.08234,25.6113,573.463,99.1715,-500,2.17563,116.735,311.775,46.2898,24.4121,97.3715,94.0376,71.3539,75.0259,72.1039,359.177,0.0917408,227.125,-309.023,26.0502,2.55975
0.199714,0.34256,-6.52E-05,-8.80E-05,-0.000144524,0.0438245,0.164952,990,0.330117,0.355648,1.03223,0.999995497,0.0247803,0.022583,1.02087,1.09875,26.9059,711.878,648.928,-500,1.22529,138.639,192.764,46.9201,24.6189,97.2949,99.1031,79.5873,79.7721,80.5376,0.100356,0.418885,226.71,-309.682,26.1496,6.08061
